ITEMID,JUDUL,PENULIS,KURIKULUM,TAHUNTERBIT,JENJANG,PARETO, HARGA 
0003060010,ENSIKLOPEDIA PERMAINAN TRADISIONAL ANAK INDONESIA,TIM PLAY PLUS-NINDYA KUSUMA DEWI,ANAK,2016,ANAK,0," 130,000 "
0005000010,BUKU 1: 35 PERCOBAAN MUDAH & MENYENANGKAN,DELPHINE GRINBERG-ISABELLE CHAVIGNY-ISABELLE PELLEGRINI,ANAK,2017,ANAK,0," 80,000 "
0005000020,BUKU 2: 26 PERCOBAAN MUDAH & MENYENANGKAN,DELPHINE GRINBERG-ISABELLE CHAVIGNY-ISABELLE PELLEGRINI,ANAK,2017,ANAK,0," 95,000 "
0005000030,BUKU 3: 26 PERCOBAAN MUDAH & MENYENANGKAN,DELPHINE GRINBERG-ISABELLE CHAVIGNY-ISABELLE PELLEGRINI,ANAK,2017,ANAK,0," 65,000 "
0005000040,BUKU 4: 33 PERCOBAAN MUDAH & MENYENANGKAN,DELPHINE GRINBERG-ISABELLE CHAVIGNY-ISABELLE PELLEGRINI,ANAK,2017,ANAK,0," 90,000 "
0005020020,RPAL: BENDA DAN SIFATNYA,"DRS. SUDIBYO, M.M",ANAK,2017,ANAK,0," 65,000 "
0020040010,TEKNOLOGI INFO&KOM JL.1/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 66,000 "
0020040020,TEKNOLOGI INFO&KOM JL.2/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 68,000 "
0020040030,TEKNOLOGI INFO&KOM JL.3/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 75,000 "
0020040040,TEKNOLOGI INFO&KOM JL.4/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 60,000 "
0020040050,TEKNOLOGI INFO&KOM JL.5/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 75,000 "
0020040060,TEKNOLOGI INFO&KOM JL.6/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 66,000 "
0020070010,MEDIA PEMBELAJARAN EXAM SD 180 HARI FISIK,ERLANGGA DIGITAL,K2013,2017,SD,0," 650,000 "
0020070020,MEDIA PEMBELAJARAN EXAM SD 365 HARI FISIK,ERLANGGA DIGITAL,K2013,2017,SD,0," 1,200,000 "
0022070010,SERI PENGAYAAN PAI SD/MI: MENGENAL ASMAUL HUSNA JL.5,SRI MINTARTI-HIMAWAN,UMUM,2016,SD,0," 80,000 "
0022070040,SERI PENGAYAAN PAI SD/MI: MENGENAL HAJI & UMRAH,HIMAWAN-SITI ROCHANI-SRI MINTARTI,UMUM,2016,SD,0," 70,000 "
0022070060,SERI PENGAYAAN PAI SD/MI: MENGENAL ZAKAT,HIMAWAN-SITI ROCHANI-SRI MINTARTI,UMUM,2016,SD,0," 52,000 "
0022070080,SERI PENGAYAAN PAI SD/MI: IMAN KPD KITAB-KITAB ALLAH SWT,SRI MINTARTI-AYEP ROSIDI,UMUM,2016,SD,0," 67,000 "
0022070120,SERI PENGAYAAN PAI SD/MI: MENGENAL PUASA,HIMAWAN-SITI ROCHANI-SRI MINTARTI,UMUM,2016,SD,0," 50,000 "
0022070130,SERI PENGAYAAN PAI SD/MI: MENGENAL ASMAUL HUSNA JL.4,SRI MINTARTI-HIMAWAN,UMUM,2016,SD,0," 75,000 "
0022070140,SERI PENGAYAAN PAI SD/MI: MENGENAL ASMAUL HUSNA JL.3,SRI MINTARTI-HIMAWAN,UMUM,2016,SD,0," 70,000 "
0022070190,PELAJAR INDONESIA ANTI NARKOBA,ABDUL WAHIB,UMUM,2016,UMUM,0," 75,000 "
0022070200,MEREGUK 50 PESAN ILAHI,NASRULLAH NURDIN,UMUM,2016,SD,0," 90,000 "
0022970100,BINA FIQIH MI KLS.I/K2013,TIM BINA KARYA GURU,K2013,2015,MI,0," 52,000 "
0022970110,BINA FIQIH MI KLS.II/K2013,TIM BINA KARYA GURU,K2013,2016,MI,0," 43,000 "
0022970120,BINA FIQIH MI KLS.III/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 50,000 "
0022970131,BINA FIQIH MI KLS.IV/K13N,TIM BINA KARYA GURU,K13N,2017,MI,0," 35,000 "
0022970140,BINA FIQIH MI KLS.V/K2013,TIM BINA KARYA GURU,K2013,2016,MI,0," 35,000 "
0022970150,BINA FIQIH MI KLS.VI/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 33,000 "
0022970160,BINA AKIDAH AKHLAK/MI/KLS.I/K2013,TIM BINA KARYA GURU,K2013,2015,MI,0," 50,000 "
0022970170,BINA AKIDAH AKHLAK/MI/KLS.II/K2013,TIM BINA KARYA GURU,K2013,2016,MI,0," 45,000 "
0022970180,BINA AKIDAH AKHLAK/MI/KLS.III/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 60,000 "
0022970190,BINA AKIDAH AKHLAK/MI/KLS.IV/K2013,TIM BINA KARYA GURU,K2013,2015,MI,0," 48,000 "
0022970200,BINA AKIDAH AKHLAK/MI/KLS.V/K2013,TIM BINA KARYA GURU,K2013,2016,MI,0," 40,000 "
0022970210,BINA AKIDAH AKHLAK/MI/KLS.VI/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 35,000 "
0023000130,IPS TERPADU SD JL.1/K2013,TIM BINA KARYA GURU,K2013,2013,SD,0," 60,000 "
0023000131,IPS TERPADU SD JL.1/K13N,TIM BINA KARYA GURU,K13N,2017,SD,0," 48,000 "
0023000140,IPS TERPADU SD JL.2/K2013,TIM BINA KARYA GURU,K2013,2014,SD,0," 67,000 "
0023000141,IPS TERPADU SD JL.2/K13N,TIM BINA KARYA GURU,K13N,2017,SD,0," 55,000 "
0023000150,IPS TERPADU SD JL.3/K2013,TIM BINA KARYA GURU,K2013,2015,SD,0," 58,000 "
0023000151,IPS TERPADU SD JL.3/K13N,TIM BINA KARYA GURU,K2013,2018,SD,0," 58,999 "
0023000160,IPS TERPADU SD JL.4/K2013,TIM BINA KARYA GURU,K2013,2013,SD,0," 66,000 "
0023000161,IPS TERPADU SD JL.4/K13N,TIM BINA KARYA GURU,K13N,2016,SD,0," 56,000 "
0023000170,IPS TERPADU SD JL.5/K2013,TIM BINA KARYA GURU,K2013,2014,SD,0," 66,000 "
0023000171,IPS TERPADU SD JL.5/K13N,TIM BINA KARYA GURU,K13N,2017,SD,0," 60,000 "
0023000180,IPS TERPADU SD JL.6/K2013,TIM BINA KARYA GURU,K2013,2015,SD,0," 70,000 "
0023000181,IPS TERPADU SD JL.6/K13N,TIM BINA KARYA GURU,K2013,2018,SD,0," 70,999 "
0023000310,ESPS: IPS SD/MI KLS.I/KTSP,NANI R.-IRMA MURTI K.,KTSP,2016,SD,0," 73,000 "
0023000320,ESPS: IPS SD/MI KLS.II/KTSP,NANI R.-IRMA MURTI K.,KTSP,2016,SD,0," 73,000 "
0023000330,ESPS: IPS SD/MI KLS.III/KTSP,NANI R.-IRMA MURTI K.,KTSP,2016,SD,0," 73,000 "
0023000340,ESPS: IPS SD/MI KLS.IV/KTSP,NANI R.-IRMA MURTI K.,KTSP,2015,SD,0," 75,000 "
0023000350,ESPS: IPS SD/MI KLS.V/KTSP,NANI R.-IRMA MURTI K.,KTSP,2015,SD,0," 85,000 "
0023000360,ESPS: IPS SD/MI KLS.VI/KTSP,NANI R.-IRMA MURTI K.,KTSP,2015,SD,0," 78,000 "
