CUSTID,CUSTOMER,SUSALES,SALESID
C00007105,56 - SD INP. UJUNG PANDANG BARU,5621102143,R0274
C00008975,56 - SD METRO SCHOOL,5621102143,R0274
C00010917,56 - SD FRATER TERATAI 2 MAKASSAR,5621102143,R0274
C00030803,56 - SD INP. TALLO TUA I,5621102143,R0274
C00036560,56 - SDN KALUKUANG 4,5621102143,R0274
C00052660,56 - SDN LARIANG BANGI III,5621102143,R0274
C00057684,56 - SD IT IKHTIAR,5621102143,R0274
C00058850,56 - MI DARUL HIKMAH MAKASSAR,5621102143,R0274
C00068195,56 - SD FRATER TERATAI 1 MAKASSAR,5621102143,R0274
C00069542,56 - SD INP. CAMBAYA 4,5621102143,R0274
C00074353,56 - SD INP. BARAYA I,5621102143,R0274
C00082047,56 - MI DDI GUSUNG,5621102143,R0274
C00093938,56 - SD INP. PANAMPU 3,5621102143,R0274
C00098833,56 - SD KIP BARA-BARAYA 2,5621102143,R0274
C00123109,56 - SD INP. BERT. LARIANGBANGI I,5621102143,R0274
C00123700,56 - SD INP. MONGINSIDI,5621102143,R0274
C00130218,56 - SD INP. MACCINI,5621102143,R0274
C00133960,56 - SD INP. BERT. BARA-BARAYA II,5621102143,R0274
C00135190,56 - SDN GADDONG 2,5621102143,R0274
C00147411,56 - SDI BUTTATIANANG 2,5621102143,R0274
C00157681,56 - SDN BAWAKARAENG III,5621102143,R0274
C00158264,56 - SD MUHAMMADIYAH BONTOALA,5621102143,R0274
C00158485,56 - SD INP. GALANGAN KAPAL I,5621102143,R0274
C00159001,56 - SD INP. UJUNG PANDANG BARU I,5621102143,R0274
C00160663,56 - SDN KALUKUANG 1,5621102143,R0274
C00162298,56 - SDN GADDONG 2,5621102143,R0274
C00167445,56 - SDN MONGINSIDI 2,5621102143,R0274
C00183677,56 - SD ISLAM DARUL HIKMAH MAKASSAR,5621102143,R0274
C00184042,56 - SD INP. LAYANG 3,5621102143,R0274
C00193391,56 - SDN BARABARAYA 3,5621102143,R0274
C00193942,56 - SDN GADDONG 1,5621102143,R0274
C00194548,56 - SDN BARAYA II,5621102143,R0274
C00195694,56 - SDN BAWAKARAENG I,5621102143,R0274
C00197654,56 - SD INP. TALLO TUA II,5621102143,R0274
C00204204,56 - SD INP. MACCINI 1/1,5621102143,R0274
C00214456,56 - SDN RAPPOJAWA 71,5621102143,R0274
C00223834,56 - SDN KIP BARAYA,5621102143,R0274
C00225343,56 - SD INP. BARAYA II,5621102143,R0274
C00228910,56 - SD INP. CAMBAYA 2,5621102143,R0274
C00231680,56 - SD BETHANI MAKASSAR,5621102143,R0274
C00238274,56 - SD KALAM KUDUS MAKASSAR,5621102143,R0274
C00241828,56 - SD FRATER TERATAI 1 MAKASSAR,5621102143,R0274
C00244528,56 - SD INP. TALLO TUA I,5621102143,R0274
C00251483,56 - SDN KALUKUANG 4,5621102143,R0274
C00251640,56 - SDN MONGINSIDI 3,5621102143,R0274
C00279629,56 - SDN MACCINI 2,5621102143,R0274
C00279798,56 - SD INP. BERT. LAYANG,5621102143,R0274
C00293532,56 - SD IT IBNU SINA,5621102143,R0274
C00299028,56 - SDN BAWAKARAENG II,5621102143,R0274
C00300891,56 - SDN UNGGULAN MONGINSIDI 1,5621102143,R0274
C00329811,56 - SD INP. MONGINSIDI,5621102143,R0274
C00335431,56 - SDN MACCINI 2,5621102143,R0274
C00338199,56 - SDN MONGINSIDI 3,5621102143,R0274
C00340084,56 - SDN MACCINI III,5621102143,R0274
C00340320,56 - SDN MARICAYA II,5621102143,R0274
C00341721,56 - SDN MARADEKAYA I,5621102143,R0274
C00351338,56 - SDN BAWAKARAENG III,5621102143,R0274
C00352822,56 - SDN BAWAKARAENG II,5621102143,R0274
C00359955,56 - SD INP. MACCINI,5621102143,R0274
C00362484,56 - SDN KIP BARAYA,5621102143,R0274
C00364757,56 - SDN PONGTIKU II,5621102143,R0274
MKSMKSZ8010119-001,56 - SD IT IKHTIAR,5621102143,R0274
MKSMKSZ8014201-006,56 - SD TUNAS BANGSA,5621102143,R0274
MKSMKSZ8014303-005,56 - SDN KIP BARA-BARAYA 1,5621102143,R0274
MKSMKSZ8015306-006,56 - SD INP. BARAYA I,5621102143,R0274
MKSMKSZ8016900-001,56 - SD HANG TUAH MAKASSAR,5621102143,R0274
MKSMKSZ8211500-001,56 - SD INP. BAWAKARAENG,5621102143,R0274
MKSMKSZ8215117-008,56 - SDN BEROANGING,5621102143,R0274
MKSMKSZ8216612-013,56 - SDN UNGGULAN MONGINSIDI 1,5621102143,R0274
MKSMKSZ8461143-002,56 - SDN MARADEKAYA 2,5621102143,R0274
MKSMKSZ8461183-003,56 - SD INP. GALANGAN KAPAL 2,5621102143,R0274
MKSMKSZ8461212-002,56 - SD INP. GALANGAN KAPAL 4,5621102143,R0274
MKSMKSZ8642492-001,56 - SD BAMBINI,5621102143,R0274
MKSMKSZ8642492-002,56 - SD BAMBINI,5621102143,R0274
